Node;N;E;Z
Abisola_Italy;44.36667;8.46667;0.0
Akchalaan;40.67228;31.42872N;0.0
Belgrade;44.80401;20.46513;0.0
North_Sebia_South_Hungary;46.1;19.66667;0.0
Central_Europe;50.28762;15.1903;0.0
China;29.2947;117.20789;0.0
Delft;52.00667;4.35556;0.0
Didymoteicho;41.349;26.49377;0.0
Eastern_Med;37.95137;27.36849;0.0
Ephesus;37.95137;27.36849;0.0
England;52.16045;-0.70312;0.0
Faenza_Italy;44.29007;11.87948;0.0
Florence_Italy;43.77925;11.24626;0.0
France;46.0;2.0;0.0
Italy;42.83333;12.83333;0.0
Izmir;38.41273;27.13838;0.0
Iznik;40.42861;29.72111;0.0
Iznik/Kutahya;39.99395;29.90424;0.0
Japan;35.68536;139.75309;0.0
Kutahya;39.42417;29.98333;0.0
Liguria_Italy;44.40478;8.94439;0.0
Meissen;51.16158;13.4737;0.0
Miletus;37.51278;27.27917;0.0
Miletus_Iznik;37.51278;27.27917;0.0
Montelupo_Italy;43.94961;12.46828;0.0
Mytilini;39.10772;26.55529;0.0
Levant;36.60374;44.50724;0.0
Orvieto_Italy;42.71924;12.11249;0.0
Sofia;42.69751;23.32415;0.0
South_Italy;40.40542;15.93279;0.0
Syria;35.0;38.0;0.0
Thuringia;50.91667;11.0;0.0
Tuscany;43.77925;11.24626;0.0
Valencia_Spain;39.47391;-0.37966;0.0
Varna;43.21667;27.91667;0.0
Vienna;48.20849;16.37208;0.0
West_Europe;50.21909;7.42676;0.0
Chanakkale;40.15552;26.41271;0.0
German_States;50.21909;7.42676;0.0
Northwest_Anatolia;39.99395;29.90424;0.0